0,1,2,3,4,5,6,7,8,9,10,11,12
-0.86368593,0.149877,-0.48123072,-0.11760985,-0.98833702,-0.09673328,-0.49011636,-0.02694972,0.87124028,0.29673666,0.20507286,0.24290426,
-0.857850312,0.172246552,-0.48417333,-0.150041863,-0.985053782,-0.0845950341,-0.491508013,7.63886239e-05,0.870873043,0.192955807,0.410929412,0.158152401,
-0.85610267,0.18474731,-0.48265541,-0.16768642,-0.98269249,-0.07871663,-0.48884464,0.01354524,0.87226568,0.31385815,0.46742508,0.12192746,
-0.85439365,0.21064552,-0.47501528,-0.2042568,-0.97670778,-0.06573137,-0.47779725,0.04086463,0.87751914,0.54615605,0.55882949,-0.00819884,
-0.84819837,0.25252906,-0.46560585,-0.2633,-0.96375303,-0.04305146,-0.45960074,0.08607784,0.88394444,0.68936729,0.2592127,-0.07975629,
-0.83790017,0.28086713,-0.46801356,-0.30248935,-0.95267506,-0.03016841,-0.45433823,0.11629101,0.88320618,0.42552137,0.13314091,0.01339032,
-0.8213962,0.30870398,-0.47959349,-0.33906384,-0.94044079,-0.02462933,-0.45863251,0.14238238,0.87714506,-0.08531039,0.01496863,0.09866816,
-0.81273932,0.32250983,-0.48522406,-0.35592766,-0.9341859,-0.02474679,-0.46127051,0.15259197,0.8740396,-0.19272561,0.02129197,0.11318946,
-0.80155002,0.34799363,-0.48622855,-0.38545394,-0.92239559,-0.02473564,-0.45710286,0.16759185,0.87348151,-0.25161794,-0.09799957,-0.05549044,
-0.79789338,0.36846742,-0.47707197,-0.40788603,-0.91274844,-0.02278167,-0.44384106,0.17641366,0.8785689,-0.20471534,-0.25737527,0.02011821,
-0.7979386,0.37661736,-0.47058821,-0.4159959,-0.90909568,-0.0221893,-0.43616661,0.17805707,0.8820739,0.01097175,-0.44291392,-0.0115616,
-0.80161051,0.38438039,-0.45789988,-0.42168486,-0.90645808,-0.02270737,-0.42379532,0.17488698,0.88871372,0.34009692,-0.86527389,-0.09148704,
-0.80995587,0.38016852,-0.44659056,-0.41304626,-0.91034357,-0.0258284,-0.41637005,0.1635427,0.89436556,0.28477162,-0.9444254,0.08808397,
-0.81342776,0.37504364,-0.44460958,-0.40370854,-0.91430495,-0.03265004,-0.4187539,0.15293423,0.89512921,0.26916653,-0.77762359,0.06416869,
-0.8220699,0.35588288,-0.44446382,-0.37440269,-0.9259735,-0.04894195,-0.42897941,0.12617476,0.89445882,0.20212622,-0.5749045,0.07019885,
-0.83466247,0.32621099,-0.44376214,-0.3328312,-0.94070857,-0.06550303,-0.43881868,0.09302496,0.89374745,0.20397799,-0.40451667,0.0700244,
-0.84276706,0.30754844,-0.44176649,-0.30822488,-0.94855767,-0.07235872,-0.4412948,0.07518188,0.89420724,0.1993767,-0.32117179,0.03062459,
-0.86193478,0.26294682,-0.43350623,-0.25279699,-0.96402925,-0.08210701,-0.4395024,0.03881819,0.89740225,0.17152275,-0.20876448,-0.00549887,
-0.88225019,0.21036046,-0.42116859,-0.19080267,-0.97762138,-0.08860393,-0.43038221,0.00218926,0.90264409,0.17944033,-0.11604702,-0.06353978,
-0.89172151,0.18210701,-0.41433043,-0.15816203,-0.98314432,-0.09171661,-0.42404886,-0.01625433,0.90549343,0.18323337,-0.07268398,-0.0778883,
-0.91522984,0.06429859,-0.39776876,-0.02080365,-0.99340947,-0.11271552,-0.40239471,-0.09488556,0.91053568,0.18791582,0.01044989,-0.08273941,
-0.91604198,0.03430877,-0.39961208,0.01525152,-0.99263434,-0.12018431,-0.40079209,-0.11618858,0.90877165,0.13754494,0.06319916,-0.07676912,
-0.91180655,-0.02518524,-0.40984687,0.08848268,-0.98671959,-0.1362175,-0.40097327,-0.16046836,0.9019259,-0.04569436,0.22640942,-0.1116273,
-0.90265416,-0.08296395,-0.42229372,0.16060662,-0.9752922,-0.15169097,-0.39927499,-0.2047477,0.89367658,-0.2321219,0.20074116,-0.05201086,
-0.89647203,-0.11125856,-0.42890499,0.19562141,-0.96790028,-0.15780169,-0.39758045,-0.22536779,0.88946003,-0.25809929,0.1304798,-0.06853581,
-0.88211529,-0.16535138,-0.44105692,0.2615352,-0.95069683,-0.1666569,-0.39175454,-0.26236255,0.88186975,-0.43259478,0.2261443,-0.11343101,
-0.86797014,-0.21096332,-0.44957971,0.31637121,-0.93270347,-0.17312738,-0.38280111,-0.29250353,0.87630187,-0.6182844,0.20398544,-0.04424286,
-0.86143223,-0.22939604,-0.45311356,0.33856595,-0.92439887,-0.1756694,-0.37855981,-0.30473612,0.87397275,-0.74107629,0.12898003,-0.04820511,
-0.85037668,-0.25615592,-0.45961256,0.37156757,-0.9108195,-0.17984841,-0.37255483,-0.32371601,0.86971883,-0.687181,-0.03062522,-0.15628582,
-0.84156966,-0.26721624,-0.46942065,0.3902569,-0.90164203,-0.18638928,-0.3734432,-0.34005424,0.86307779,-0.77152455,0.10558795,-0.23262767,
-0.84531211,-0.2588347,-0.4673882,0.38013119,-0.90609625,-0.18571362,-0.37542964,-0.33465485,0.86432557,-1.01220644,0.15864645,-0.35890844,
-0.85554525,-0.23407328,-0.46179183,0.34916835,-0.91944367,-0.1808437,-0.38226098,-0.31596311,0.86835698,1.32814372,0.64357203,-0.6381948,
-0.84812033,-0.1395805,-0.5110859,0.26627936,-0.9462789,-0.18344249,-0.45802491,-0.29167298,0.83972616,0.03190284,-0.28565308,0.23158668,
-0.82871615,-0.0902403,-0.55234576,0.23068062,-0.95425888,-0.1902,-0.50991725,-0.28503732,0.81162681,-0.5585022,-0.08567887,0.32439461,
-0.82753995,-0.0673334,-0.55735404,0.20964731,-0.95802514,-0.19553898,-0.52079297,-0.27866413,0.80692066,-0.68170834,-0.08692705,0.06912974,
-0.84619647,-0.0409624,-0.53129425,0.17605027,-0.96254557,-0.20618508,-0.5029491,-0.26800759,0.82171414,0.14936769,0.04182648,-0.13223962,
-0.84375006,-0.00371518,-0.53672312,0.14125112,-0.96626401,-0.21536395,-0.51781621,-0.25752613,0.81581042,-0.03282001,-0.00765234,0.02802276,
-0.83748745,0.0056659,-0.54642708,0.13519981,-0.96670987,-0.21723929,-0.52946734,-0.25581203,0.80884147,-0.14006053,0.02173352,0.1182438,
-0.82866055,0.0228229,-0.55928574,0.12241412,-0.96759288,-0.22085855,-0.54620162,-0.25148127,0.79901247,-0.26086521,0.05360961,0.20495264,
-0.8323045,0.04235564,-0.55269787,0.09881539,-0.96976868,-0.22312313,-0.54543969,-0.24032148,0.80295772,-0.04005052,0.01805186,0.08350052,
-0.84112559,0.06645272,-0.53674191,0.06472635,-0.97292167,-0.22188742,-0.53695283,-0.22137652,0.81404798,0.07054118,0.01369858,0.0623185,
-0.84307375,0.07277965,-0.53285037,0.05558548,-0.97370179,-0.22094072,-0.53491742,-0.21588809,0.81685718,0.05809595,0.00684237,0.07291936,
-0.84871298,0.10004798,-0.51930399,0.01649636,-0.97645653,-0.21508245,-0.52859635,-0.19110989,0.82708095,0.03574878,-0.00893223,0.01043953,
-0.84907923,0.10736299,-0.51724046,0.006455,-0.97694795,-0.21338016,-0.52822612,-0.18451544,0.82881314,0.0639712,-0.01531112,-0.00722404,
-0.84841744,0.12254787,-0.51494623,-0.01338134,-0.97748556,-0.21057697,-0.52915834,-0.17176653,0.83095589,0.06513279,-0.0214988,0.00149676,
-0.84610426,0.13815558,-0.51480166,-0.03314597,-0.97759345,-0.20787625,-0.53198595,-0.15882137,0.83172515,0.00599142,-0.00498253,-0.00957449,
-0.84233014,0.16109734,-0.51432265,-0.06284654,-0.9771323,-0.20313294,-0.53528539,-0.13878158,0.8331922,-0.02470541,0.00213027,-0.02681395,
-0.84161438,0.17632925,-0.51048322,-0.08347198,-0.97631211,-0.19961706,-0.53358931,-0.12538955,0.83639698,0.06143712,-0.0102362,-0.00568024,
-0.84094274,0.18423366,-0.50879558,-0.09397039,-0.97569108,-0.19798015,-0.532902,-0.11867828,0.83781316,0.0855098,-0.01314747,0.0080188,
-0.83853057,0.20079522,-0.50650512,-0.11535307,-0.97396741,-0.19514301,-0.53250336,-0.10520649,0.83986412,0.12928855,-0.00283301,0.0236185,
-0.83526159,0.21854116,-0.50455708,-0.13799921,-0.97157049,-0.19237208,-0.53225399,-0.09105253,0.84167401,0.10700457,0.02029824,0.06270784,
-0.83332316,0.2278665,-0.50363578,-0.14989432,-0.97009781,-0.19089666,-0.53207502,-0.0835865,0.84256124,0.09650086,0.00436616,0.06475034,
-0.82889275,0.24773157,-0.50156292,-0.17490661,-0.96641547,-0.18827709,-0.53136048,-0.06833488,0.84438518,0.12456279,0.05793368,0.08833776,
-0.82386505,0.26914881,-0.49880399,-0.20191245,-0.96169123,-0.1854224,-0.52960161,-0.05204829,0.84664817,0.13008197,0.10898411,0.10838906,
-0.82148218,0.28038568,-0.49653865,-0.21652011,-0.95892176,-0.18326978,-0.52752801,-0.04304227,0.84844654,0.19167084,0.13649164,0.12984663,
-0.81678891,0.30401262,-0.49033882,-0.24815273,-0.95239045,-0.17712308,-0.52084168,-0.02299325,0.85334357,0.37479162,0.25044438,0.17837124,
-0.80577595,0.34322939,-0.48261679,-0.30211242,-0.93914652,-0.16349981,-0.50936575,0.01406032,0.86043528,0.42653331,0.35032734,0.1327824,
